time_tag,active,source,x_gse,y_gse,z_gse
2016-01-22 14:00:00.000,1,ACE,1466940,-242364,44646
2016-01-22 15:00:00.000,1,ACE,1466940,-242364,44646
2016-01-22 16:00:00.000,1,ACE,1466940,-242364,44646
2016-01-22 17:00:00.000,1,ACE,1466940,-242364,44646
2016-01-22 18:00:00.000,1,ACE,1466940,-242364,44646
2016-01-22 19:00:00.000,1,ACE,1466940,-242364,44646
2016-01-22 20:00:00.000,1,ACE,1466940,-242364,44646
2016-01-22 21:00:00.000,1,ACE,1466940,-242364,44646
2016-01-22 22:00:00.000,1,ACE,1466940,-242364,44646
2016-01-22 23:00:00.000,1,ACE,1466940,-242364,44646
2016-01-23 00:00:00.000,1,ACE,1466940,-242364,44646
2016-01-23 01:00:00.000,1,ACE,1466940,-242364,44646
2016-01-23 02:00:00.000,1,ACE,1466940,-242364,44646
2016-01-23 03:00:00.000,1,ACE,1460562,-242364,44646
2016-01-23 04:00:00.000,1,ACE,1460562,-242364,44646
2016-01-23 05:00:00.000,1,ACE,1460562,-242364,44646
2016-01-23 06:00:00.000,1,ACE,1460562,-242364,44646
2016-01-23 07:00:00.000,1,ACE,1460562,-248742,44646
2016-01-23 08:00:00.000,1,ACE,1460562,-248742,44646
2016-01-23 09:00:00.000,1,ACE,1460562,-248742,44646
2016-01-23 10:00:00.000,1,ACE,1460562,-248742,44646
2016-01-23 11:00:00.000,1,ACE,1460562,-248742,44646
2016-01-23 12:00:00.000,1,ACE,1460562,-248742,44646
2016-01-23 13:00:00.000,1,ACE,1460562,-248742,44646
2016-01-23 14:00:00.000,1,ACE,1460562,-248742,44646
2016-01-23 15:00:00.000,1,ACE,1460562,-248742,44646
2016-01-23 16:00:00.000,1,ACE,1460562,-248742,44646
2016-01-23 17:00:00.000,1,ACE,1460562,-248742,38268
2016-01-23 18:00:00.000,1,ACE,1460562,-248742,38268
2016-01-23 19:00:00.000,1,ACE,1460562,-248742,38268
2016-01-23 20:00:00.000,1,ACE,1460562,-248742,38268
2016-01-23 21:00:00.000,1,ACE,1460562,-248742,38268
2016-01-23 22:00:00.000,1,ACE,1460562,-248742,38268
2016-01-23 23:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 00:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 01:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 02:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 03:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 04:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 05:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 06:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 07:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 08:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 09:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 10:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 11:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 12:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 13:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 14:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 15:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 16:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 17:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 18:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 19:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 20:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 21:00:00.000,1,ACE,1460562,-248742,38268
2016-01-24 22:00:00.000,1,ACE,1460562,-248742,31890
2016-01-24 23:00:00.000,1,ACE,1460562,-248742,31890
